"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-07-11","94.5","-1.91","6.07","Lambert, Peter",669394,663567,"strikeout","called_strike",,,,,9,"Jake Burger called out on strikes.","R","R","R","TEX","HOU","S",2,,3,2,2026,"-0.66","1.42",0.6093745495064216,1.6211484187191703,,,694671,2,6,"Bot",,,,,,,7.914019052549938,-137.22996619574155,-8.865817819276035,-9.922709746171474,27.4416331753278,-12.453887675099185,3.229658793,1.62992126,,,,"94.3",2284,"6.1",822875,543877,572233,514888,670623,665161,670541,666211,664774,"54.41",,0,"0",1,0,0,,53,7,"4-Seam Fastball",1,7,1,7,7,1,1,7,"Standard","Standard",209,"-0.007","-0.341",,,,,"0.341",,-6,-6,0.024,0.024,29,30,29,30,3,2,6,1,,1,"1.12","0.66","0.66","53.1",,,,,
"CH","2026-07-11","87.6","-2.37","5.75","Lambert, Peter",669394,663567,,"foul",,,,,13,,"R","R","R","TEX","HOU","S",,,3,2,2026,"-1.16","0.39",-0.9381139584806792,2.223524137090154,,,694671,2,6,"Bot",,,,,,,5.8464327052352925,-127.4783714413943,-2.984379973591895,-13.854514870753992,25.726862562361998,-27.560388209025586,3.229658793,1.62992126,158,"92.1",73,"87.6",1505,"6.3",822875,543877,572233,514888,670623,665161,670541,666211,664774,"54.23",,,,,,,,53,6,"Changeup",1,7,1,7,7,1,1,7,"Standard","Standard",232,"0","0","78.9","8.1",,,"0","92.1",-6,-6,0.024,0.024,29,30,29,30,3,2,6,1,,1,"2.58","1.16","1.16","45.3",15.997471308471713,-31.342776390920832,30.585910521953828,28.779529453447378,42.918258806650414
"FC","2026-07-11","91.8","-2.51","5.81","Lambert, Peter",669394,663567,,"called_strike",,,,,6,,"R","R","R","TEX","HOU","S",,,3,1,2026,"0","1.04",0.6483130451249254,2.4502191235600344,,,694671,2,6,"Bot",,,,,,,7.88285117017868,-133.48924509899288,-4.76419898263791,-1.4998436439552434,25.97431321926528,-18.91886734304712,3.229658793,1.62992126,,,,"92.3",2421,"6.4",822875,543877,572233,514888,670623,665161,670541,666211,664774,"54.11",,,,,,,,53,5,"Cutter",1,7,1,7,7,1,1,7,"Standard","Standard",199,"-0.002","-0.087",,,,,"0.087",,-6,-6,0.026,0.026,29,30,29,30,3,2,6,1,,1,"1.65","0","0","45.8",,,,,
"FF","2026-07-11","93","-2.05","5.96","Lambert, Peter",669394,663567,,"called_strike",,,,,3,,"R","R","R","TEX","HOU","S",,,3,0,2026,"-0.86","1.38",0.7017268382716698,2.7694388078573815,,,694671,2,6,"Bot",,,,,,,8.859380180228577,-135.0966587914929,-5.267084615962321,-12.424702468518772,28.959010040107227,-14.269522005966449,3.229658793,1.62992126,,,,"92.9",2286,"6.3",822875,543877,572233,514888,670623,665161,670541,666211,664774,"54.23",,,,,,,,53,4,"4-Seam Fastball",1,7,1,7,7,1,1,7,"Standard","Standard",216,"-0.001","-0.061",,,,,"0.061",,-6,-6,0.027,0.027,29,30,29,30,3,2,6,1,,1,"1.26","0.86","0.86","49.3",,,,,
"FF","2026-07-11","95.8","-2.13","5.53","Mahle, Tyler",666160,641816,"strikeout","called_strike",,,,,8,"Mickey Moniak called out on strikes.","R","L","R","SF","COL","S",2,,2,2,2026,"-0.78","1.45",-0.27617158080109716,2.0350161395636155,,,678662,2,7,"Top",,,,,,,6.661595983471336,-139.31194928699236,-6.814407412585754,-11.625920366839853,29.379883651355062,-11.941545455361558,3.254232283,1.642322835,,,,"96.7",2252,"6.7",823198,683679,646240,650333,669477,642715,671218,687551,808982,"53.81",,0,"0",1,0,0,,53,5,"4-Seam Fastball",4,1,1,4,1,4,1,4,"Infield shade","Standard",214,"0.017","-0.249",,,,,"0.249",,3,-3,0.924,0.07599999999999996,31,28,32,28,4,3,6,1,,1,"1.03","0.78","-0.78","45.5",,,,,
"SI","2026-07-11","94.3","-2.53","5.79","Lambert, Peter",669394,663567,,"ball",,,,,13,,"R","R","R","TEX","HOU","B",,,2,0,2026,"-1.12","0.83",-1.0588807026017,1.6847174819516952,,,694671,2,6,"Bot",,,,,,,6.319090159559008,-137.11701956480056,-6.645657279968597,-15.564556219478481,29.341558513294753,-20.38025973096902,3.229658793,1.62992126,,,,"94.6",2186,"6.4",822875,543877,572233,514888,670623,665161,670541,666211,664774,"54.07",,,,,,,,53,3,"Sinker",1,7,1,7,7,1,1,7,"Standard","Standard",216,"0.002","0.116",,,,,"-0.116",,-6,-6,0.025,0.025,29,30,29,30,3,2,6,1,,1,"1.73","1.12","1.12","43.0",,,,,
"FF","2026-07-11","95.1","-2.09","5.37","Yamamoto, Yoshinobu",678489,808967,"field_out","hit_into_play",,,,,13,"Jorge Barrosa flies out to left fielder Teoscar Hernández.","R","L","R","LAD","AZ","X",7,"fly_ball",1,2,2026,"-0.93","1.23",-0.8548127966569334,1.9343522428099846,,,,2,6,"Top",55.67,84.51,,,,,5.321878300630579,-138.33816844205677,-5.963572312499716,-13.088537027512185,29.771615857256936,-15.261814966952482,2.958472769,1.493061024,332,"93.9",36,"95.5",1984,"6.5",823926,687221,518692,669242,571970,605141,606192,681624,663656,"54.03",0.089,0.163,"0",1,0,0,3,45,4,"4-Seam Fastball",0,6,6,0,6,0,6,0,"Standard","Standard",219,"0.001","-0.177","70.6","7.9",,0.298,"0.177","93.9",-6,6,0.031,0.969,27,25,28,25,3,0,7,1,,,"1.29","0.93","-0.93","38.0",10.059780112288086,5.972516942227846,26.727325811651934,41.250457555954576,23.784608143368423
"SI","2026-07-11","96","2.06","5.98","Sánchez, Cristopher",805808,650911,"single","hit_into_play",,,,,5,"Kevin McGonigle singles on a ground ball to left fielder Brandon Marsh. Matt Vierling to 2nd.","R","L","L","DET","PHI","X",7,"ground_ball",0,0,2026,"1.21","0.31",0.25691858047651217,2.0295317492807308,,,663837,0,8,"Bot",94.38,105.06,,,,,-7.559114053128009,-139.53789081157402,-5.383181679373549,17.531158006511248,29.87542810072475,-27.136731480385325,3.085728346,1.557283465,111,"100.5",6,"96.8",2144,"6.7",824249,592663,547180,681082,664761,607208,669016,656537,687282,"53.82",0.609,0.562,"0.9",1,1,0,4,60,1,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",127,"0.093","0.468","72.9","6.5",,0.678,"-0.468","100.5",-3,-3,0.14,0.14,29,21,30,22,4,3,5,1,,1,"2.16","1.21","1.21","32.8",-0.7552693105602841,14.542910482101286,38.739600671330415,35.472123185807945,23.12899038458913
"FF","2026-07-11","94.7","-2","5.63","Mahle, Tyler",666160,641816,,"foul",,,,,12,,"R","L","R","SF","COL","S",,,2,1,2026,"-0.95","1.43",0.10469594220814349,3.6858637022311718,,,678662,2,7,"Top",,,,,,,7.643198259884704,-137.74567000506238,-2.5202527405555513,-13.780889267041344,28.483877545498768,-13.593033916555122,3.254232283,1.642322835,171,"77",73,"95.5",2461,"6.6",823198,683679,646240,650333,669477,642715,671218,687551,808982,"53.86",,,,,,,,53,4,"4-Seam Fastball",4,1,1,4,1,4,1,4,"Infield shade","Standard",217,"0.005","-0.07","74.1","6.9",,,"0.07","88.0",3,-3,0.919,0.08099999999999996,31,28,32,28,4,3,6,1,,1,"1.1","0.95","-0.95","42.8",8.60368157706791,3.5195180542893834,22.043363573175647,37.31508911553382,25.703793801966626
"FC","2026-07-11","88.2","-2.36","5.46","Mahle, Tyler",666160,641816,,"called_strike",,,,,4,,"R","L","R","SF","COL","S",,,2,0,2026,"-0.57","0.83",-0.6832768761097273,2.614423179012805,,,678662,2,7,"Top",,,,,,,5.257029378654823,-128.54682731042908,-2.547157058508089,-7.300191016746231,20.595194312302215,-22.55354080655054,3.254232283,1.642322835,,,,"89.6",2369,"6.6",823198,683679,646240,650333,669477,642715,671218,687551,808982,"53.94",,,,,,,,53,3,"Cutter",4,1,1,4,1,4,1,4,"Infield shade","Standard",179,"0.006","-0.054",,,,,"0.054",,3,-3,0.913,0.08699999999999997,31,28,32,28,4,3,6,1,,1,"2.04","0.57","-0.57","40.5",,,,,
