date,gameId,mlbGameId,simId,projectionSystem,gameTimeUtc,gameTimeLocal,status,awayTeamId,awayTeam,awayTeamAbbrev,homeTeamId,homeTeam,homeTeamAbbrev,awayWinPct,homeWinPct,awayMoneyline,homeMoneyline,awayProjectedRuns,homeProjectedRuns,projectedTotalRuns,simulations,simLoadDate,awayScore,homeScore,isFinal,error
2026-06-30,20261277,824819,824819,rSteamer,2026-06-30T22:35:00Z,"6/30/2026, 5:35:00 PM",,4,Chicago White Sox,CHW,2,Baltimore Orioles,BAL,0.3997,0.6003,150,-150,4.8867,5.8757,10.7624,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261278,823445,823445,rSteamer,2026-06-30T22:40:00Z,"6/30/2026, 5:40:00 PM",,27,Pittsburgh Pirates,PIT,26,Philadelphia Phillies,PHI,0.2996,0.7004,234,-234,3.7083,5.5434,9.2517,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261279,824418,824418,rSteamer,2026-06-30T22:40:00Z,"6/30/2026, 5:40:00 PM",,13,Texas Rangers,TEX,5,Cleveland Guardians,CLE,0.555,0.445,-125,125,4.7793,3.9894,8.7687,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261280,823528,823528,rSteamer,2026-06-30T23:05:00Z,"6/30/2026, 6:05:00 PM",,6,Detroit Tigers,DET,9,New York Yankees,NYY,0.5596,0.4404,-127,127,4.2167,3.3601,7.5768,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261281,822793,822793,rSteamer,2026-06-30T23:05:00Z,"6/30/2026, 6:05:00 PM",,25,New York Mets,NYM,14,Toronto Blue Jays,TOR,0.5344,0.4656,-115,115,4.3969,3.9113,8.3082,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261282,824742,824742,rSteamer,2026-06-30T23:10:00Z,"6/30/2026, 6:10:00 PM",,24,Washington Nationals,WSN,3,Boston Red Sox,BOS,0.4305,0.5695,132,-132,4.8279,5.0859,9.9138,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261283,824907,824907,rSteamer,2026-06-30T23:15:00Z,"6/30/2026, 6:15:00 PM",,28,St. Louis Cardinals,STL,16,Atlanta Braves,ATL,0.4867,0.5133,105,-105,4.5813,4.4949,9.0762,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261284,824096,824096,rSteamer,2026-06-30T23:40:00Z,"6/30/2026, 6:40:00 PM",,12,Tampa Bay Rays,TBR,7,Kansas City Royals,KCR,0.5277,0.4723,-112,112,5.2362,4.7365,9.9727,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261285,823768,823768,rSteamer,2026-06-30T23:40:00Z,"6/30/2026, 6:40:00 PM",,18,Cincinnati Reds,CIN,23,Milwaukee Brewers,MIL,0.4201,0.5799,138,-138,4.5404,4.9921,9.5325,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261286,824661,824661,rSteamer,2026-07-01T00:05:00Z,"6/30/2026, 7:05:00 PM",,29,San Diego Padres,SDP,17,Chicago Cubs,CHC,0.471,0.529,112,-112,4.6488,4.9553,9.6041,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261287,824175,824175,rSteamer,2026-07-01T00:10:00Z,"6/30/2026, 7:10:00 PM",,8,Minnesota Twins,MIN,21,Houston Astros,HOU,0.5193,0.4807,-108,108,4.709,4.168,8.877,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261288,824338,824338,rSteamer,2026-07-01T00:40:00Z,"6/30/2026, 7:40:00 PM",,20,Miami Marlins,MIA,19,Colorado Rockies,COL,0.571,0.429,-133,133,6.7764,5.6655,12.4419,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261289,823122,823122,rSteamer,2026-07-01T01:40:00Z,"6/30/2026, 8:40:00 PM",,1,Los Angeles Angels,LAA,11,Seattle Mariners,SEA,0.3463,0.6537,189,-189,3.0156,4.0318,7.0474,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261290,824984,824984,rSteamer,2026-07-01T01:40:00Z,"6/30/2026, 8:40:00 PM",,22,Los Angeles Dodgers,LAD,10,Athletics,ATH,0.5656,0.4344,-130,130,6.1567,5.1713,11.328,10000,2026-06-30T02:04:12,,,,
2026-06-30,20261291,825066,825066,rSteamer,2026-07-01T01:40:00Z,"6/30/2026, 8:40:00 PM",,30,San Francisco Giants,SFG,15,Arizona Diamondbacks,ARI,0.4646,0.5354,115,-115,4.9455,4.9957,9.9412,10000,2026-06-30T02:04:12,,,,
