system,date,simId,side,team,winPct,espnMoneyline,expectedRoi,hit,profit
rSteamer,2026-05-04,824363,away,NYM,0.642,-149,0.072872,true,0.671141
rSteamer,2026-05-04,823874,away,PHI,0.5631,-105,0.099386,true,0.952381
rSteamer,2026-05-04,824283,home,DET,0.4941,104,0.007964,false,-1
rSteamer,2026-05-04,822984,away,TOR,0.483,109,0.00947,false,-1
rSteamer,2026-05-04,823552,away,BAL,0.3935,189,0.137215,false,-1
rSteamer,2026-05-04,824684,away,CIN,0.3817,183,0.080211,false,-1
rSteamer,2026-05-04,823064,home,STL,0.4882,105,0.00081,true,1.05
rSteamer,2026-05-04,824201,home,HOU,0.4254,163,0.118802,false,-1
rSteamer,2026-05-04,824039,away,CHW,0.4745,133,0.105585,true,1.33
rSteamer,2026-05-04,823143,home,SEA,0.6227,-143,0.058155,true,0.699301
rSteamer,2026-05-04,823228,home,SFG,0.4953,108,0.030224,true,1.08
rSteamer,2026-05-05,824281,away,BOS,0.4585,133,0.068305,true,1.33
rSteamer,2026-05-05,823873,away,BAL,0.4782,115,0.02813,true,1.15
rSteamer,2026-05-05,822743,home,WSN,0.5309,-102,0.05139,false,-1
rSteamer,2026-05-05,823553,away,TEX,0.4879,113,0.039227,false,-1
rSteamer,2026-05-05,824682,away,CIN,0.4513,137,0.069581,false,-1
rSteamer,2026-05-05,824200,home,HOU,0.3639,184,0.033476,true,1.84
rSteamer,2026-05-05,825092,home,ARI,0.5872,-130,0.038892,true,0.769231
rSteamer,2026-05-05,823142,home,SEA,0.5722,-131,0.008994,false,-1
rSteamer,2026-05-06,823226,away,SDP,0.5522,-102,0.093573,true,0.980392
rSteamer,2026-05-06,824036,away,CHW,0.5681,-113,0.070843,false,-1
rSteamer,2026-05-06,823872,away,BAL,0.4854,109,0.014486,true,1.09
rSteamer,2026-05-06,822740,home,WSN,0.491,105,0.00655,true,1.05
rSteamer,2026-05-06,823550,away,TEX,0.4341,141,0.046181,true,1.41
rSteamer,2026-05-06,824683,away,CIN,0.4619,140,0.10856,false,-1
rSteamer,2026-05-06,824118,home,KCR,0.6202,-141,0.060058,false,-1
rSteamer,2026-05-07,823551,away,TEX,0.4825,131,0.114575,false,-1
rSteamer,2026-05-07,824681,away,CIN,0.3851,169,0.035919,false,-1
rSteamer,2026-05-07,824362,away,NYM,0.6004,-136,0.041871,false,-1
rSteamer,2026-05-07,823467,away,ATH,0.4764,114,0.019496,true,1.14
rSteamer,2026-05-07,823870,away,BAL,0.4982,104,0.016328,false,-1
rSteamer,2026-05-08,823466,home,PHI,0.7327,-232,0.048519,false,-1
rSteamer,2026-05-08,823871,away,WSN,0.4702,117,0.020334,true,1.17
rSteamer,2026-05-08,824768,away,TBR,0.469,114,0.00366,false,-1
rSteamer,2026-05-08,824443,away,MIN,0.4938,123,0.101174,false,-1
rSteamer,2026-05-08,823794,away,NYY,0.5665,-128,0.009078,false,-1
rSteamer,2026-05-08,824116,home,KCR,0.6056,-149,0.012043,true,0.671141
rSteamer,2026-05-08,822904,home,TEX,0.4976,108,0.035008,false,-1
rSteamer,2026-05-08,825088,away,NYM,0.5706,-122,0.038305,true,0.819672
rSteamer,2026-05-08,823957,away,ATL,0.5313,-110,0.0143,false,-1
rSteamer,2026-05-08,823225,home,SFG,0.5362,-115,0.002461,true,0.869565
rSteamer,2026-05-09,823869,away,WSN,0.5275,135,0.239625,false,-1
rSteamer,2026-05-09,823468,away,COL,0.3996,157,0.026972,false,-1
