date,gameId,mlbGameId,espnEventId,side,team,opponent,isHome,fanGraphsWinPct,fairMoneyline,espnMoneyline,marketImpliedPct,edgePct,expectedRoi,hit,profit,awayScore,homeScore,winner
2026-05-04,20260522,824363,401815210,away,NYM,COL,false,0.642,-179,-149,0.598394,0.043606,0.072872,true,0.671141,4,2,NYM
2026-05-04,20260514,823874,401815204,away,PHI,MIA,false,0.5631,-129,-105,0.512195,0.050905,0.099386,true,0.952381,1,0,PHI
2026-05-04,20260515,824283,401815203,home,DET,BOS,true,0.4941,102,104,0.490196,0.003904,0.007964,false,-1,5,4,BOS
2026-05-04,20260516,822984,401815205,away,TOR,TBR,false,0.483,107,109,0.478469,0.004531,0.00947,false,-1,1,5,TBR
2026-05-04,20260517,823552,401815202,away,BAL,NYY,false,0.3935,154,189,0.346021,0.047479,0.137215,false,-1,1,12,NYY
2026-05-04,20260518,824684,401815206,away,CIN,CHC,false,0.3817,162,183,0.353357,0.028343,0.080211,false,-1,4,5,CHC
2026-05-04,20260520,823064,401815209,home,STL,MIL,true,0.4882,105,105,0.487805,0.000395,0.00081,true,1.05,3,6,STL
2026-05-04,20260521,824201,401815208,home,HOU,LAD,true,0.4254,135,163,0.380228,0.045172,0.118802,false,-1,8,3,LAD
2026-05-04,20260523,824039,401815212,away,CHW,LAA,false,0.4745,111,133,0.429185,0.045315,0.105585,true,1.33,6,0,CHW
2026-05-04,20260524,823143,401815211,home,SEA,ATL,true,0.6227,-165,-143,0.588477,0.034223,0.058155,true,0.699301,4,5,SEA
2026-05-04,20260525,823228,401815213,home,SFG,SDP,true,0.4953,102,108,0.480769,0.014531,0.030224,true,1.08,2,3,SFG
2026-05-05,20260526,824281,401815216,away,BOS,DET,false,0.4585,118,133,0.429185,0.029315,0.068305,true,1.33,10,3,BOS
2026-05-05,20260529,823873,401815215,away,BAL,MIA,false,0.4782,109,115,0.465116,0.013084,0.02813,true,1.15,9,7,BAL
2026-05-05,20260530,822743,401815217,home,WSN,MIN,true,0.5309,-113,-102,0.50495,0.02595,0.05139,false,-1,11,3,MIN
2026-05-05,20260531,823553,401815218,away,TEX,NYY,false,0.4879,105,113,0.469484,0.018416,0.039227,false,-1,4,7,NYY
2026-05-05,20260532,824682,401815220,away,CIN,CHC,false,0.4513,122,137,0.421941,0.029359,0.069581,false,-1,2,3,CHC
2026-05-05,20260535,824200,401815222,home,HOU,LAD,true,0.3639,175,184,0.352113,0.011787,0.033476,true,1.84,1,2,HOU
2026-05-05,20260538,825092,401815227,home,ARI,PIT,true,0.5872,-142,-130,0.565217,0.021983,0.038892,true,0.769231,0,9,ARI
2026-05-05,20260539,823142,401815225,home,SEA,ATL,true,0.5722,-134,-131,0.5671,0.0051,0.008994,false,-1,3,2,ATL
2026-05-06,20260545,823226,401815243,away,SDP,SFG,false,0.5522,-123,-102,0.50495,0.04725,0.093573,true,0.980392,5,1,SDP
2026-05-06,20260546,824036,401815241,away,CHW,LAA,false,0.5681,-132,-113,0.530516,0.037584,0.070843,false,-1,2,8,LAA
2026-05-06,20260550,823872,401815230,away,BAL,MIA,false,0.4854,106,109,0.478469,0.006931,0.014486,true,1.09,7,4,BAL
2026-05-06,20260551,822740,401815232,home,WSN,MIN,true,0.491,104,105,0.487805,0.003195,0.00655,true,1.05,2,15,WSN
2026-05-06,20260552,823550,401815233,away,TEX,NYY,false,0.4341,130,141,0.414938,0.019162,0.046181,true,1.41,6,1,TEX
2026-05-06,20260553,824683,401815235,away,CIN,CHC,false,0.4619,116,140,0.416667,0.045233,0.10856,false,-1,6,7,CHC
2026-05-06,20260554,824118,401815236,home,KCR,CLE,true,0.6202,-163,-141,0.585062,0.035138,0.060058,false,-1,3,1,CLE
2026-05-07,20260556,823551,401815248,away,TEX,NYY,false,0.4825,107,131,0.4329,0.0496,0.114575,false,-1,2,9,NYY
2026-05-07,20260559,824681,401815249,away,CIN,CHC,false,0.3851,160,169,0.371747,0.013353,0.035919,false,-1,3,8,CHC
2026-05-07,20260536,824362,401871498,away,NYM,COL,false,0.6004,-150,-136,0.576271,0.024129,0.041871,false,-1,2,6,COL
2026-05-07,20260561,823467,401815244,away,ATH,PHI,false,0.4764,110,114,0.46729,0.00911,0.019496,true,1.14,12,1,ATH
2026-05-07,20260562,823870,401815245,away,BAL,MIA,false,0.4982,101,104,0.490196,0.008004,0.016328,false,-1,3,4,MIA
2026-05-08,20260566,823466,401815255,home,PHI,COL,true,0.7327,-274,-232,0.698795,0.033905,0.048519,false,-1,9,7,COL
2026-05-08,20260569,823871,401815259,away,WSN,MIA,false,0.4702,113,117,0.460829,0.009371,0.020334,true,1.17,3,2,WSN
2026-05-08,20260570,824768,401815258,away,TBR,BOS,false,0.469,113,114,0.46729,0.00171,0.00366,false,-1,0,2,BOS
2026-05-08,20260571,824443,401815257,away,MIN,CLE,false,0.4938,103,123,0.44843,0.04537,0.101174,false,-1,4,6,CLE
