date,gameId,mlbGameId,simId,espnEventId,espnCompetitionId,gameTimeUtc,awayTeam,awayTeamAbbrev,homeTeam,homeTeamAbbrev,isFinal,awayScore,homeScore,winner,projectionSystem,simulations,simLoadDate,awayWinPct,homeWinPct,awayFairMoneyline,homeFairMoneyline,oddsProvider,oddsLineType,espnAwayMoneyline,espnHomeMoneyline,awayMarketImpliedPct,homeMarketImpliedPct,awayExpectedRoi,homeExpectedRoi,simError,oddsError
2026-03-25,20260001,823244,823244,401814702,401814702,2026-03-26T00:05:00Z,Yankees,NYY,Giants,SFG,true,7,0,NYY,rSteamer,,,,,,,DraftKings,close,-126,104,0.557522,0.490196,,,,
2026-03-26,20260002,823649,823649,401814693,401814693,2026-03-26T17:15:00Z,Pirates,PIT,Mets,NYM,true,7,11,NYM,rSteamer,,,,,,,DraftKings,close,104,-126,0.490196,0.557522,,,,
2026-03-26,20260003,823812,823812,401814696,401814696,2026-03-26T18:10:00Z,White Sox,CHW,Brewers,MIL,true,2,14,MIL,rSteamer,,,,,,,DraftKings,close,163,-199,0.380228,0.665552,,,,
2026-03-26,20260004,824704,824704,401814698,401814698,2026-03-26T18:20:00Z,Nationals,WSN,Cubs,CHC,true,10,4,WSN,rSteamer,,,,,,,DraftKings,close,169,-207,0.371747,0.674267,,,,
2026-03-26,20260005,824865,824865,401814692,401814692,2026-03-26T19:05:00Z,Twins,MIN,Orioles,BAL,true,1,2,BAL,rSteamer,,,,,,,DraftKings,close,120,-145,0.454545,0.591837,,,,
2026-03-26,20260006,824218,824218,401814695,401814695,2026-03-26T20:10:00Z,Angels,LAA,Astros,HOU,true,3,0,LAA,rSteamer,,,,,,,DraftKings,close,153,-186,0.395257,0.65035,,,,
2026-03-26,20260007,824541,824541,401814689,401814689,2026-03-26T20:10:00Z,Red Sox,BOS,Reds,CIN,true,3,0,BOS,rSteamer,,,,,,,DraftKings,close,-163,135,0.619772,0.425532,,,,
2026-03-26,20260008,823325,823325,401814701,401814701,2026-03-26T20:10:00Z,Tigers,DET,Padres,SDP,true,8,2,DET,rSteamer,,,,,,,DraftKings,close,-126,104,0.557522,0.490196,,,,
2026-03-26,20260009,823081,823081,401814697,401814697,2026-03-26T20:15:00Z,Rays,TBR,Cardinals,STL,true,7,9,STL,rSteamer,,,,,,,DraftKings,close,-136,113,0.576271,0.469484,,,,
2026-03-26,20260010,823486,823486,401814694,401814694,2026-03-26T20:15:00Z,Rangers,TEX,Phillies,PHI,true,3,5,PHI,rSteamer,,,,,,,DraftKings,close,144,-175,0.409836,0.636364,,,,
2026-03-26,20260011,823974,823974,401814699,401814699,2026-03-27T00:30:00Z,Diamondbacks,ARI,Dodgers,LAD,true,2,8,LAD,rSteamer,,,,,,,DraftKings,close,229,-286,0.303951,0.740933,,,,
2026-03-26,20260012,823163,823163,401814700,401814700,2026-03-27T02:10:00Z,Guardians,CLE,Mariners,SEA,true,6,4,CLE,rSteamer,,,,,,,DraftKings,close,153,-186,0.395257,0.65035,,,,
2026-03-27,20260013,823243,823243,401814721,401814721,2026-03-27T20:35:00Z,Yankees,NYY,Giants,SFG,true,3,0,NYY,rSteamer,,,,,,,DraftKings,close,-136,113,0.576271,0.469484,,,,
2026-03-27,20260014,822839,822839,401814688,401814688,2026-03-27T23:05:00Z,Athletics,ATH,Blue Jays,TOR,true,2,3,TOR,rSteamer,,,,,,,DraftKings,close,139,-169,0.41841,0.628253,,,,
2026-03-27,20260015,823893,823893,401814690,401814690,2026-03-27T23:10:00Z,Rockies,COL,Marlins,MIA,true,1,2,MIA,rSteamer,,,,,,,DraftKings,close,163,-199,0.380228,0.665552,,,,
2026-03-27,20260016,824946,824946,401814691,401814691,2026-03-27T23:15:00Z,Royals,KCR,Braves,ATL,true,0,6,ATL,rSteamer,,,,,,,DraftKings,close,119,-143,0.456621,0.588477,,,,
2026-03-27,20260017,824216,824216,401814703,401814703,2026-03-28T00:15:00Z,Angels,LAA,Astros,HOU,true,6,2,LAA,rSteamer,,,,,,,DraftKings,close,140,-169,0.416667,0.628253,,,,
2026-03-27,20260018,823324,823324,401814706,401814706,2026-03-28T01:40:00Z,Tigers,DET,Padres,SDP,true,5,2,DET,rSteamer,,,,,,,DraftKings,close,108,-130,0.480769,0.565217,,,,
2026-03-27,20260019,823162,823162,401814705,401814705,2026-03-28T01:45:00Z,Guardians,CLE,Mariners,SEA,true,1,5,SEA,rSteamer,,,,,,,DraftKings,close,144,-175,0.409836,0.636364,,,,
2026-03-27,20260020,823971,823971,401814704,401814704,2026-03-28T02:10:00Z,Diamondbacks,ARI,Dodgers,LAD,true,4,5,LAD,rSteamer,,,,,,,DraftKings,close,194,-240,0.340136,0.705882,,,,
2026-03-28,20260021,823082,823082,401814716,401814716,2026-03-28T18:15:00Z,Rays,TBR,Cardinals,STL,true,5,6,STL,rSteamer,,,,,,,DraftKings,close,-115,-105,0.534884,0.512195,,,,
