date,playerName,teamAbbrev,opponentAbbrev,statCategory,line,isDefault,probOver,probUnder,multiplierMore,multiplierLess,projectedMean,bestSideName,bestProb,bestMult,bestPm,actual,result,realizedMultiple
2026-07-16,Bo Bichette,NYM,PHI,Hits + Runs + RBIs,1.5,true,0.6045,0.3955,1x,1x,2.3192,higher,0.6045,1,0.6045,0,loss,0
2026-07-16,Francisco Lindor,NYM,PHI,Hits + Runs + RBIs,1.5,true,0.5997,0.4003,1x,1x,2.3469,higher,0.5997,1,0.5997,0,loss,0
2026-07-16,Carson Benge,NYM,PHI,Hits + Runs + RBIs,1.5,true,0.562,0.438,1x,1x,2.1232,higher,0.562,1,0.562,1,loss,0
2026-07-16,Jorge Polanco,NYM,PHI,Hits + Runs + RBIs,1.5,true,0.534,0.466,1x,,2.0509,higher,0.534,1,0.534,0,loss,0
2026-07-16,Christian Scott,NYM,PHI,Strikeouts Thrown,5.5,true,0.5296,0.4704,1x,,5.6727,higher,0.5296,1,0.5296,7,win,1
2026-07-16,A.J. Ewing,NYM,PHI,Hits + Runs + RBIs,1.5,true,0.5879,0.4121,0.9x,,2.1743,higher,0.5879,0.9,0.5291,2,win,0.9
2026-07-16,Alec Bohm,PHI,NYM,Hits + Runs + RBIs,1.5,true,0.5185,0.4815,1x,1x,1.9308,higher,0.5185,1,0.5185,0,loss,0
2026-07-16,Brandon Marsh,PHI,NYM,Hits + Runs + RBIs,1.5,true,0.5685,0.4315,0.9x,,2.1513,higher,0.5685,0.9,0.5117,0,loss,0
2026-07-16,Brett Baty,NYM,PHI,Hits,0.5,true,0.6234,0.3766,0.8x,,0.9043,higher,0.6234,0.8,0.4987,2,win,0.8
2026-07-16,Trea Turner,PHI,NYM,Hits,0.5,true,0.7091,0.2909,0.7x,,1.1103,higher,0.7091,0.7,0.4964,1,win,0.7
2026-07-16,Francisco Alvarez,NYM,PHI,Hits,0.5,true,0.6107,0.3893,0.8x,,0.8778,higher,0.6107,0.8,0.4886,2,win,0.8
2026-07-16,Juan Soto,NYM,PHI,Hits + Runs + RBIs,2.5,true,0.4761,0.5239,1x,,2.7383,higher,0.4761,1,0.4761,1,loss,0
2026-07-16,Aaron Nola,PHI,NYM,Strikeouts Thrown,5.5,true,0.4706,0.5294,1x,,5.3504,higher,0.4706,1,0.4706,6,win,1
2026-07-16,Jared Young,NYM,PHI,Home Runs,0.5,true,0.1783,0.8217,2.5x,,0.1915,higher,0.1783,2.5,0.4458,0,loss,0
2026-07-16,Bryce Harper,PHI,NYM,Hits + Runs + RBIs,2.5,true,0.4023,0.5977,1.1x,,2.3792,higher,0.4023,1.1,0.4425,1,loss,0
2026-07-16,Justin Crawford,PHI,NYM,Hits,0.5,true,0.6241,0.3759,0.7x,,0.8943,higher,0.6241,0.7,0.4369,0,loss,0
2026-07-16,Juan Soto,NYM,PHI,Home Runs,0.5,true,0.3058,0.6942,1.4x,,0.3513,higher,0.3058,1.4,0.4281,0,loss,0
2026-07-16,Kyle Schwarber,PHI,NYM,Home Runs,0.5,true,0.3261,0.6739,1.3x,,0.38,higher,0.3261,1.3,0.4239,0,loss,0
2026-07-16,Kyle Schwarber,PHI,NYM,Hits + Runs + RBIs,2.5,true,0.4218,0.5782,1x,,2.4459,higher,0.4218,1,0.4218,1,loss,0
2026-07-16,J.T. Realmuto,PHI,NYM,Home Runs,0.5,true,0.1176,0.8824,3.3x,,0.1232,higher,0.1176,3.3,0.3881,0,loss,0
2026-07-16,Francisco Lindor,NYM,PHI,Hits + Runs + RBIs,0.5,false,0.8309,0.1691,0.7x,,2.3469,higher,0.8309,0.7,0.5816,0,loss,0
2026-07-16,Carson Benge,NYM,PHI,Hits + Runs + RBIs,0.5,false,0.8151,0.1849,0.7x,,2.1232,higher,0.8151,0.7,0.5706,1,win,0.7
2026-07-16,Jorge Polanco,NYM,PHI,Hits + Runs + RBIs,0.5,false,0.7919,0.2081,0.7x,,2.0509,higher,0.7919,0.7,0.5543,0,loss,0
2026-07-16,Alec Bohm,PHI,NYM,Hits + Runs + RBIs,0.5,false,0.7895,0.2105,0.7x,,1.9308,higher,0.7895,0.7,0.5527,0,loss,0
2026-07-16,Christian Scott,NYM,PHI,Strikeouts Thrown,6.5,false,0.3424,0.6576,1.6x,,5.6727,higher,0.3424,1.6,0.5478,7,win,1.6
2026-07-16,Juan Soto,NYM,PHI,Hits + Runs + RBIs,1.5,false,0.6792,0.3208,0.8x,,2.7383,higher,0.6792,0.8,0.5434,1,loss,0
2026-07-16,Aaron Nola,PHI,NYM,Strikeouts Thrown,4.5,false,0.6592,0.3408,0.8x,,5.3504,higher,0.6592,0.8,0.5274,6,win,0.8
2026-07-16,Juan Soto,NYM,PHI,Hits + Runs + RBIs,0.5,false,0.8763,0.1237,0.6x,,2.7383,higher,0.8763,0.6,0.5258,1,win,0.6
2026-07-16,Brett Baty,NYM,PHI,Hits,1.5,false,0.2257,0.7743,2.3x,,0.9043,higher,0.2257,2.3,0.5191,2,win,2.3
2026-07-16,Christian Scott,NYM,PHI,Strikeouts Thrown,3.5,false,0.8606,0.1394,0.6x,,5.6727,higher,0.8606,0.6,0.5164,7,win,0.6
2026-07-16,Francisco Lindor,NYM,PHI,Hits + Runs + RBIs,2.5,false,0.3932,0.6068,1.3x,,2.3469,higher,0.3932,1.3,0.5112,0,loss,0
2026-07-16,Bo Bichette,NYM,PHI,Hits + Runs + RBIs,2.5,false,0.3924,0.6076,1.3x,,2.3192,higher,0.3924,1.3,0.5101,0,loss,0
2026-07-16,Kyle Schwarber,PHI,NYM,Hits + Runs + RBIs,0.5,false,0.8489,0.1511,0.6x,,2.4459,higher,0.8489,0.6,0.5093,1,win,0.6
2026-07-16,Kyle Schwarber,PHI,NYM,Hits + Runs + RBIs,1.5,false,0.6309,0.3691,0.8x,,2.4459,higher,0.6309,0.8,0.5047,1,loss,0
2026-07-16,Bo Bichette,NYM,PHI,Hits + Runs + RBIs,0.5,false,0.841,0.159,0.6x,,2.3192,higher,0.841,0.6,0.5046,0,loss,0
2026-07-16,Bryce Harper,PHI,NYM,Hits + Runs + RBIs,0.5,false,0.8404,0.1596,0.6x,,2.3792,higher,0.8404,0.6,0.5042,1,win,0.6
2026-07-16,Christian Scott,NYM,PHI,Strikeouts Thrown,4.5,false,0.7185,0.2815,0.7x,,5.6727,higher,0.7185,0.7,0.503,7,win,0.7
2026-07-16,Brett Baty,NYM,PHI,Hits,2.5,false,0.0481,0.9519,10.4x,,0.9043,higher,0.0481,10.4,0.5002,2,loss,0
2026-07-16,A.J. Ewing,NYM,PHI,Hits + Runs + RBIs,0.5,false,0.8323,0.1677,0.6x,,2.1743,higher,0.8323,0.6,0.4994,2,win,0.6
2026-07-16,Francisco Alvarez,NYM,PHI,Hits,1.5,false,0.217,0.783,2.3x,,0.8778,higher,0.217,2.3,0.4991,2,win,2.3
