date,simId,mlbGameId,projectionSystem,simLoadDate,side,teamAbbrev,opponentAbbrev,fangraphsPitcherId,projectedPitcherName,mlbPitcherId,actualPitcherName,starterMatched,projectedRole,error,seasonInningsBeforeStart,priorMlbInnings,recentStarts,actualDraftKingsPoints,actualOuts,actualStrikeouts,actualEarnedRuns,actualHits,actualWalks,actualHitBatsmen,actualWin,baseSimulationCount,baseSimulationMean,baseSimulationStdDev,baseP10,baseP20,baseP50,baseP80,baseP90,baseProbability30Plus,baseSimulatedWinProbability,baseExperienceVarianceMultiplier,baseExperienceConfidence,adjustedSimulationCount,adjustedSimulationMean,adjustedSimulationStdDev,adjustedP10,adjustedP20,adjustedP50,adjustedP80,adjustedP90,adjustedProbability30Plus,adjustedSimulatedWinProbability,adjustedExperienceVarianceMultiplier,adjustedExperienceConfidence
2026-05-04,824363,824363,rSteamer,2026-05-04T23:01:21,home,COL,NYM,35321,Tomoyuki Sugano,608372,Tomoyuki Sugano,true,Starter,,31.67,157,6,3,16,1,4,3,2,0,0,10000,8.72,9.86,-3.97,0.48,9.08,17.18,21.18,0.0109,0.2193,1,unknown,10000,8.72,10.23,-4.44,0.21,8.96,17.51,21.81,0.0143,0.2199,1.0413,medium
2026-05-04,823874,823874,rSteamer,2026-05-04T23:01:21,away,PHI,MIA,16149,Aaron Nola,605400,Aaron Nola,true,Starter,,31.33,1715.67,6,24.5,18,5,0,5,0,0,1,10000,15.66,9.8,2.68,7.48,16.33,23.88,27.74,0.0623,0.4334,1,unknown,10000,15.66,10.09,2.17,7.32,16.27,24.38,28.02,0.0676,0.4359,1.031,high
2026-05-04,823874,823874,rSteamer,2026-05-04T23:01:21,home,MIA,PHI,23301,Janson Junk,676083,Janson Junk,true,Starter,,33,158,6,19,16,6,1,5,0,0,0,10000,10.26,9.89,-2.69,1.91,10.66,18.81,22.61,0.0159,0.2682,1,unknown,10000,10.26,10.07,-2.89,1.71,10.61,18.96,23.06,0.0173,0.2732,1.041,medium
2026-05-04,824283,824283,rSteamer,2026-05-04T23:01:21,away,BOS,DET,35466,Payton Tolle,801139,Payton Tolle,true,Starter,,10.67,16.33,2,33.95,21,8,0,1,1,1,1,10000,16.06,9.8,3.09,7.84,16.64,24.49,28.39,0.0691,0.3752,1,unknown,10000,16.06,10.37,2.46,7.41,16.51,25.16,29.01,0.0819,0.3774,1.0695,low
2026-05-04,822984,822984,rSteamer,2026-05-04T23:01:21,away,TOR,TBR,19316,Eric Lauer,641778,Eric Lauer,true,Starter,,27,701.33,5,4.15,13,2,3,5,1,0,0,10000,11.28,9.7,-1.28,3.22,11.55,19.77,23.57,0.0189,0.3594,1,unknown,10000,11.28,9.81,-1.65,3.06,11.61,19.81,23.71,0.0184,0.3663,1.0315,high
2026-05-04,822984,822984,rSteamer,2026-05-04T23:01:21,home,TBR,TOR,12730,Nick Martinez,607259,Nick Martinez,true,Starter,,37,940,6,17.65,15,4,1,5,1,0,1,10000,11.67,9.73,-1.11,3.59,11.89,20.05,24.19,0.0219,0.3556,1,unknown,10000,11.67,9.92,-1.37,3.33,12.03,20.18,24.23,0.0244,0.3569,1.0305,high
2026-05-04,823552,823552,rSteamer,2026-05-04T23:01:21,away,BAL,NYY,22264,Shane Baz,669358,Shane Baz,true,Starter,,34,286,6,4.75,17,4,5,5,5,0,0,10000,12.55,10.19,-0.88,4.22,13.07,21.17,25.17,0.0348,0.2821,1,unknown,10000,12.55,10.58,-1.28,3.87,13.12,21.57,25.67,0.0403,0.2814,1.0353,high
2026-05-04,823552,823552,rSteamer,2026-05-04T23:01:21,home,NYY,BAL,32095,Cam Schlittler,693645,Cam Schlittler,true,Starter,,41.67,73,7,16.75,17,4,1,7,3,0,1,10000,16.46,9.9,3.43,8.23,16.93,25.04,28.63,0.0736,0.4053,1,unknown,10000,16.46,10.16,3.19,8.09,16.97,25.24,29.09,0.0799,0.4044,1.0437,medium
2026-05-04,824684,824684,rSteamer,2026-05-04T23:01:21,away,CIN,CHC,30170,Chase Petty,695534,Chase Petty,true,Starter,,0,6,0,5.15,17,1,3,4,2,0,0,10000,7.29,10.07,-5.96,-1.21,7.59,16.04,20.2,0.0051,0.2737,1,unknown,10000,7.29,10.88,-7.03,-1.78,7.67,16.67,21.27,0.0111,0.2671,1.0956,low
2026-05-04,824684,824684,rSteamer,2026-05-04T23:01:21,home,CHC,CIN,21690,Edward Cabrera,665795,Edward Cabrera,true,Starter,,35.33,431.67,6,16.9,18,8,3,9,2,0,0,10000,15.52,10.17,2.11,7.26,16.06,24.26,28.06,0.0672,0.4273,1,unknown,10000,15.52,10.38,1.7,6.9,16.05,24.55,28.26,0.0717,0.4254,1.0311,high
2026-05-04,824120,824120,rSteamer,2026-05-04T23:01:21,away,CLE,KCR,30134,Tanner Bibee,676440,Tanner Bibee,true,Starter,,35.33,498,7,4.8,12,4,4,5,2,0,0,10000,13.19,9.84,0.34,4.74,13.49,21.74,25.64,0.0345,0.3459,1,unknown,10000,13.19,10.13,0.05,4.65,13.5,21.95,26,0.0411,0.3479,1.0305,high
2026-05-04,824120,824120,rSteamer,2026-05-04T23:01:21,home,KCR,CLE,14078,Michael Wacha,608379,Michael Wacha,true,Starter,,37.33,1627.33,6,18.75,21,3,2,4,1,0,1,10000,13.54,9.48,1.25,5.65,13.92,21.6,25.55,0.0345,0.3505,1,unknown,10000,13.54,9.79,0.97,5.37,13.87,21.92,25.78,0.0404,0.343,1.0305,high
2026-05-04,823064,823064,rSteamer,2026-05-04T23:01:21,away,MIL,STL,30113,Chad Patrick,694477,Chad Patrick,true,Starter,,28,119.67,4,1.5,10,4,4,7,3,0,0,10000,12.32,9.96,-0.67,3.93,12.73,20.88,24.83,0.0308,0.3868,1,unknown,10000,12.32,10.49,-1.51,3.39,12.74,21.39,25.59,0.0376,0.3857,1.0454,medium
2026-05-04,823064,823064,rSteamer,2026-05-04T23:01:21,home,STL,MIL,24763,Kyle Leahy,681517,Kyle Leahy,true,Starter,,29.33,138.33,6,18.6,16,5,1,6,2,1,1,10000,10.93,9.81,-1.87,2.68,11.18,19.28,23.28,0.0173,0.329,1,unknown,10000,10.93,10.07,-2.25,2.5,11.25,19.55,23.55,0.0209,0.3306,1.0428,medium
2026-05-04,824201,824201,rSteamer,2026-05-04T23:01:21,away,LAD,HOU,33825,Yoshinobu Yamamoto,808967,Yoshinobu Yamamoto,true,Starter,,37.67,263.67,6,23.9,18,8,3,5,1,0,1,10000,17.77,9.79,4.95,9.5,18.25,26.15,29.9,0.0985,0.4536,1,unknown,10000,17.77,9.99,4.54,9.33,18.29,26.45,30.19,0.1046,0.4456,1.0357,high
2026-05-04,824039,824039,rSteamer,2026-05-04T23:01:21,away,CHW,LAA,21448,Davis Martin,663436,Davis Martin,true,Starter,,37,256,6,36.75,21,10,0,5,0,0,1,10000,14,9.97,0.94,5.69,14.34,22.64,26.54,0.0448,0.336,1,unknown,10000,14,10.17,0.63,5.58,14.43,22.73,26.73,0.0482,0.3459,1.036,high
2026-05-04,824039,824039,rSteamer,2026-05-04T23:01:21,home,LAA,CHW,22100,José Soriano,667755,José Soriano,true,Starter,,42.67,324,7,2.4,12,5,5,8,3,0,0,10000,15.13,9.83,2.24,7,15.65,23.55,27.5,0.0539,0.3281,1,unknown,10000,15.13,10.16,1.57,6.62,15.77,23.82,27.77,0.0613,0.3356,1.033,high
2026-05-04,823143,823143,rSteamer,2026-05-04T23:01:21,away,ATL,SEA,31760,JR Ritchie,702275,JR Ritchie,true,Starter,,12.33,0,2,2.65,15,2,3,4,6,1,0,10000,10.84,10.03,-2.19,2.51,11.16,19.56,23.51,0.022,0.2618,1,unknown,10000,10.84,10.67,-3.15,1.85,11.2,20.05,24.36,0.0286,0.262,1.0724,low
2026-05-04,823143,823143,rSteamer,2026-05-04T23:01:21,home,SEA,ATL,22250,Logan Gilbert,669302,Logan Gilbert,true,Starter,,38,835.33,7,12.7,18,4,4,6,2,0,1,10000,19.12,9.54,6.53,11.33,19.53,27.24,31.03,0.1248,0.445,1,unknown,10000,19.12,9.83,6.08,11.08,19.48,27.53,31.43,0.1323,0.4455,1.0303,high
2026-05-04,823228,823228,rSteamer,2026-05-04T23:01:21,away,SDP,SFG,24719,Randy Vásquez,681190,Randy Vásquez,true,Starter,,33.67,269.33,6,6.55,17,2,3,5,2,0,0,10000,9.96,9.95,-3.14,1.46,10.36,18.56,22.76,0.0142,0.3678,1,unknown,10000,9.96,10.22,-3.52,1.28,10.43,18.88,23.03,0.0164,0.3664,1.036,high
2026-05-04,823228,823228,rSteamer,2026-05-04T23:01:21,home,SFG,SDP,26448,Trevor McDonald,686790,Trevor McDonald,true,Starter,,0,18,0,31.95,21,8,1,2,0,1,1,10000,10.86,9.52,-1.59,3.01,11.21,19.06,22.86,0.0142,0.3549,1,unknown,10000,10.86,10.24,-2.5,2.35,11.3,19.71,23.65,0.0217,0.3466,1.0884,low
2026-05-05,824281,824281,rSteamer,2026-05-05T23:01:25,home,DET,BOS,17295,Framber Valdez,664285,Framber Valdez,true,Starter,,40.33,1080.67,7,-8.45,9,3,7,9,1,2,0,10000,15.65,9.48,3.36,7.76,16.11,23.81,27.56,0.0541,0.3578,1,unknown,10000,15.65,9.64,3.08,7.63,16.08,23.98,27.68,0.0574,0.3596,1.0301,high
2026-05-05,823469,823469,rSteamer,2026-05-05T23:01:25,away,ATH,PHI,15890,Luis Severino,622663,Luis Severino,true,Starter,,38.33,1072,7,9.85,15,3,1,7,2,0,0,10000,10.61,10.09,-2.61,2.44,10.79,19.29,23.44,0.0186,0.2197,1,unknown,10000,10.61,10.28,-2.68,2.03,10.78,19.49,23.68,0.0219,0.2207,1.0303,high
2026-05-05,823469,823469,rSteamer,2026-05-05T23:01:25,home,PHI,ATH,20778,Cristopher Sánchez,650911,Cristopher Sánchez,true,Starter,,40.33,535.67,7,39,24,10,0,3,1,1,1,10000,19.16,9.51,6.58,11.23,19.63,27.33,31.03,0.1219,0.4848,1,unknown,10000,19.16,9.76,6.23,11.03,19.68,27.53,31.18,0.1273,0.4786,1.0301,high
2026-05-05,822986,822986,rSteamer,2026-05-05T23:01:25,away,TOR,TBR,14107,Kevin Gausman,592332,Kevin Gausman,true,Starter,,40.67,2197,7,11.3,18,3,2,6,1,0,0,10000,14.66,9.63,2.18,6.63,15.13,22.98,26.73,0.0437,0.3256,1,unknown,10000,14.66,9.92,1.82,6.32,15.12,23.22,27.07,0.0509,0.3271,1.0301,high
2026-05-05,822986,822986,rSteamer,2026-05-05T23:01:25,home,TBR,TOR,25385,Drew Rasmussen,656876,Drew Rasmussen,true,Starter,,30.67,536.67,6,12.7,18,5,3,7,1,0,0,10000,16.55,9.59,4.09,8.54,17.04,24.74,28.59,0.0707,0.3654,1,unknown,10000,16.55,9.77,3.94,8.44,16.99,24.94,28.79,0.0792,0.359,1.0311,high
2026-05-05,823873,823873,rSteamer,2026-05-05T23:01:25,away,BAL,MIA,12304,Chris Bassitt,605135,Chris Bassitt,true,Starter,,28,1278.67,6,0.4,12,3,4,6,3,2,0,10000,11.95,10,-0.98,3.62,12.22,20.77,24.67,0.0267,0.3415,1,unknown,10000,11.95,10.26,-1.26,3.38,12.34,20.89,24.89,0.03,0.3487,1.0313,high
2026-05-05,823873,823873,rSteamer,2026-05-05T23:01:25,home,MIA,BAL,18684,Sandy Alcantara,645261,Sandy Alcantara,true,Starter,,47.33,1075.33,7,-0.85,13,5,7,8,3,0,0,10000,14.38,9.98,1.31,5.95,14.91,23.06,27.01,0.0505,0.358,1,unknown,10000,14.38,10.19,1.03,5.78,14.78,23.23,27.18,0.0536,0.3526,1.0296,high
2026-05-05,822743,822743,rSteamer,2026-05-05T23:01:25,away,MIN,WSN,22543,Taj Bradley,671737,Taj Bradley,true,Starter,,41,528,7,25.9,18,8,2,4,2,0,1,10000,13.15,9.76,0.59,4.99,13.54,21.64,25.44,0.0333,0.3402,1,unknown,10000,13.15,9.96,0.12,4.67,13.42,21.77,25.87,0.0404,0.3399,1.0301,high
2026-05-05,822743,822743,rSteamer,2026-05-05T23:01:25,home,WSN,MIN,27473,Cade Cavalli,676917,Cade Cavalli,true,Starter,,30.67,53,7,1.6,12,2,3,5,3,1,0,10000,14.28,9.68,1.42,6.17,14.62,22.52,26.42,0.0436,0.3482,1,unknown,10000,14.28,10.2,0.74,5.64,14.69,23.19,27.14,0.0532,0.3452,1.0482,medium
2026-05-05,823553,823553,rSteamer,2026-05-05T23:01:25,away,TEX,NYY,10954,Jacob deGrom,594798,Jacob deGrom,true,Starter,,31.33,1539.67,6,11.45,19,7,6,7,1,0,0,10000,19.23,9.79,6.47,11.22,19.52,27.72,31.37,0.1342,0.3779,1,unknown,10000,19.23,10,6.18,10.88,19.63,27.83,31.63,0.1396,0.3823,1.031,high
2026-05-05,823553,823553,rSteamer,2026-05-05T23:01:25,home,NYY,TEX,31811,Elmer Rodríguez,695684,Elmer Rodríguez,true,Starter,,4,0,1,1.9,14,2,3,6,4,1,0,10000,12.33,9.91,-0.62,4.09,12.64,20.99,24.84,0.0296,0.304,1,unknown,10000,12.33,10.46,-1.27,3.48,12.83,21.38,25.33,0.0365,0.3014,1.0866,low
2026-05-05,824682,824682,rSteamer,2026-05-05T23:01:25,away,CIN,CHC,29911,Andrew Abbott,671096,Andrew Abbott,true,Starter,,34.67,413.67,7,15.95,17,4,0,4,4,0,0,10000,11.27,9.96,-1.59,3.16,11.51,19.81,23.96,0.023,0.3296,1,unknown,10000,11.27,10.31,-1.94,2.71,11.69,20.11,24.41,0.0276,0.3339,1.0314,high
2026-05-05,824682,824682,rSteamer,2026-05-05T23:01:25,home,CHC,CIN,11674,Jameson Taillon,592791,Jameson Taillon,true,Starter,,34.67,1237,6,15.15,17,5,2,5,1,0,0,10000,13.2,9.83,0.54,5.09,13.54,21.74,25.69,0.0363,0.3582,1,unknown,10000,13.2,10.05,0.27,4.82,13.52,21.77,25.92,0.0404,0.3564,1.0307,high
2026-05-05,824119,824119,rSteamer,2026-05-05T23:01:25,away,CLE,KCR,30122,Gavin Williams,668909,Gavin Williams,true,Starter,,43.33,325.67,7,11.5,18,7,5,8,2,0,0,10000,13.52,9.92,0.63,5.23,13.83,22.18,26.08,0.0401,0.384,1,unknown,10000,13.52,10.15,0.37,5.12,13.77,22.32,26.47,0.0443,0.379,1.0329,high
2026-05-05,824119,824119,rSteamer,2026-05-05T23:01:25,home,KCR,CLE,21487,Stephen Kolek,663568,Stephen Kolek,true,Starter,,0,272,0,15.1,18,3,3,4,0,0,1,10000,9.56,9.71,-3.31,1.29,9.99,17.89,21.79,0.0103,0.3192,1,unknown,10000,9.56,9.97,-3.47,1.03,9.98,18.18,22.23,0.0133,0.3204,1.0437,medium
2026-05-05,824200,824200,rSteamer,2026-05-05T23:01:25,away,LAD,HOU,19755,Shohei Ohtani,660271,Shohei Ohtani,true,Starter,,30,528.67,5,24.75,21,8,2,4,0,1,0,10000,19.68,9.6,7.15,11.8,20.35,27.85,31.45,0.134,0.524,1,unknown,10000,19.68,9.77,6.78,11.38,20.43,27.88,31.58,0.1396,0.5221,1.0313,high
2026-05-05,824200,824200,rSteamer,2026-05-05T23:01:25,home,HOU,LAD,17969,Peter Lambert,663567,Peter Lambert,true,Starter,,15.33,243.67,3,23.55,21,4,0,3,4,0,1,10000,10.27,10.08,-2.8,1.85,10.55,19.05,23.15,0.0188,0.1994,1,unknown,10000,10.27,10.44,-3.46,1.48,10.64,19.29,23.54,0.0212,0.1974,1.0409,medium
2026-05-05,824040,824040,rSteamer,2026-05-05T23:01:25,away,CHW,LAA,17425,Erick Fedde,607200,Erick Fedde,true,Starter,,33.33,1091,4,1.7,14,2,4,6,2,0,0,10000,12.01,10.06,-1.11,3.54,12.34,20.69,24.79,0.0308,0.3669,1,unknown,10000,12.01,10.26,-1.47,3.28,12.18,20.98,25.03,0.0338,0.3683,1.0312,high
2026-05-05,824040,824040,rSteamer,2026-05-05T23:01:25,home,LAA,CHW,26443,Sam Aldegheri,691951,Sam Aldegheri,true,Starter,,1.67,26.67,0,1.4,12,0,2,4,2,0,0,10000,10.17,9.79,-2.55,1.95,10.5,18.55,22.5,0.0145,0.3312,1,unknown,10000,10.17,10.51,-3.52,1.43,10.48,19.23,23.53,0.0205,0.3298,1.0814,low
2026-05-05,825092,825092,rSteamer,2026-05-05T23:01:25,away,PIT,ARI,29868,Bubba Chandler,696149,Bubba Chandler,true,Starter,,29,31.33,6,10.45,15,4,2,2,6,0,0,10000,9.47,9.96,-3.34,1.16,9.91,18.11,22.06,0.0135,0.2939,1,unknown,10000,9.47,10.47,-4.14,0.76,9.91,18.51,22.66,0.017,0.295,1.0515,medium
2026-05-05,825092,825092,rSteamer,2026-05-05T23:01:25,home,ARI,PIT,13164,Eduardo Rodriguez,593958,Eduardo Rodriguez,true,Starter,,32.67,1304.67,6,30.75,21,7,0,2,3,0,1,10000,13.88,9.73,1.12,5.77,14.42,22.17,26.18,0.0393,0.3909,1,unknown,10000,13.88,10.05,0.74,5.39,14.54,22.44,26.49,0.0413,0.3831,1.0309,high
2026-05-05,823142,823142,rSteamer,2026-05-05T23:01:25,away,ATL,SEA,27779,Bryce Elder,693821,Bryce Elder,true,Starter,,43,434.67,7,24.5,18,9,2,2,3,0,0,10000,11.75,9.9,-1.36,3.28,12.19,20.34,24.3,0.0238,0.2973,1,unknown,10000,11.75,10.18,-1.69,3.26,12.21,20.56,24.61,0.026,0.2931,1.0303,high
2026-05-05,823142,823142,rSteamer,2026-05-05T23:01:25,home,SEA,ATL,25436,George Kirby,669923,George Kirby,true,Starter,,45,637.67,7,18.15,21,5,2,5,1,0,0,10000,15.68,9.68,3.22,7.77,16.12,23.97,27.67,0.0591,0.3919,1,unknown,10000,15.68,9.87,2.74,7.34,16.14,24.19,27.99,0.0635,0.3982,1.0298,high
2026-05-05,823227,823227,rSteamer,2026-05-05T23:01:25,away,SDP,SFG,19374,Walker Buehler,621111,Walker Buehler,true,Starter,,25,965.67,6,13.8,16,5,4,7,0,0,1,10000,11.34,9.96,-1.7,3.05,11.75,20.1,23.91,0.0204,0.2997,1,unknown,10000,11.34,10.12,-1.85,2.79,11.75,20.1,24.1,0.0229,0.3,1.0315,high
2026-05-05,823227,823227,rSteamer,2026-05-05T23:01:25,home,SFG,SDP,17995,Logan Webb,657277,Logan Webb,true,Starter,,44,1062.33,7,0.2,12,4,6,7,0,1,0,10000,15.89,9.58,3.32,7.87,16.37,24.07,27.82,0.0613,0.4097,1,unknown,10000,15.89,9.73,3.17,7.87,16.47,24.17,27.82,0.0625,0.4131,1.0299,high
2026-05-06,822985,822985,rSteamer,2026-05-06T23:01:25,away,TOR,TBR,9323,Patrick Corbin,571578,Patrick Corbin,true,Starter,,24.67,2047.67,5,5.2,16,1,2,5,2,1,0,10000,11.07,9.68,-1.34,3.11,11.26,19.46,23.46,0.0186,0.3045,1,unknown,10000,11.07,10,-1.91,2.69,11.39,19.64,23.74,0.0216,0.3098,1.0317,high
2026-05-06,822985,822985,rSteamer,2026-05-06T23:01:25,home,TBR,TOR,21483,Shane McClanahan,663556,Shane McClanahan,true,Starter,,29,404.67,6,22.95,17,4,0,2,1,0,1,10000,16.37,9.53,3.98,8.53,16.73,24.59,28.38,0.0698,0.3996,1,unknown,10000,16.37,9.83,3.49,8.24,16.89,24.74,28.49,0.0724,0.4025,1.0323,high
2026-05-06,823063,823063,rSteamer,2026-05-06T23:01:25,away,MIL,STL,33850,Brandon Sproat,687075,Brandon Sproat,true,Starter,,26.67,20.67,4,16,12,5,0,1,3,1,0,10000,11.18,10.11,-1.98,2.67,11.52,20.02,24.02,0.0215,0.3666,1,unknown,10000,11.18,10.52,-2.57,2.33,11.53,20.38,24.43,0.0264,0.3681,1.0555,low
2026-05-06,823063,823063,rSteamer,2026-05-06T23:01:25,home,STL,MIL,26108,Andre Pallante,669467,Andre Pallante,true,Starter,,31.33,460,6,2.9,18,3,5,8,2,1,0,10000,10.21,9.71,-2.55,2,10.5,18.6,22.5,0.0148,0.3348,1,unknown,10000,10.21,9.91,-2.67,1.88,10.58,18.73,22.73,0.0144,0.3345,1.031,high
2026-05-06,824198,824198,rSteamer,2026-05-06T23:01:25,away,LAD,HOU,14374,Tyler Glasnow,607192,Tyler Glasnow,true,Starter,,38.67,865.67,6,3.65,3,2,1,1,0,0,0,10000,20.69,9.79,7.64,12.54,21.39,29.14,32.64,0.1708,0.5246,1,unknown,10000,20.69,10,7.31,12.46,21.51,29.21,32.81,0.1765,0.5239,1.0304,high
2026-05-06,824198,824198,rSteamer,2026-05-06T23:01:25,home,HOU,LAD,14120,Lance McCullers Jr.,621121,Lance McCullers Jr.,true,Starter,,31.33,774,6,-2.2,8,4,6,4,3,0,0,10000,11.45,9.94,-1.41,3.14,11.94,19.94,23.99,0.0237,0.1857,1,unknown,10000,11.45,10.24,-1.78,2.92,11.87,20.27,24.27,0.0264,0.1824,1.031,high
2026-05-06,823226,823226,rSteamer,2026-05-06T23:01:25,home,SFG,SDP,12718,Adrian Houser,605288,Adrian Houser,true,Starter,,30.33,858.67,6,15.1,18,3,1,3,1,0,0,10000,11.13,9.46,-1.21,3.24,11.29,19.29,23.05,0.0185,0.3084,1,unknown,10000,11.13,9.89,-1.78,2.77,11.37,19.57,23.62,0.0221,0.3064,1.0311,high
2026-05-06,824036,824036,rSteamer,2026-05-06T23:01:25,away,CHW,LAA,32056,Noah Schultz,702273,Noah Schultz,true,Starter,,21.33,0,4,-6.35,11,3,7,7,4,0,0,10000,12.74,10.26,-0.77,3.99,13.24,21.64,25.74,0.0323,0.4289,1,unknown,10000,12.74,10.84,-1.54,3.51,13.21,22.16,26.46,0.0442,0.4255,1.0617,low
